SITE_NUM,PART_ID,PASSFG,SOFT_BIN,T_TIME,TEST_NUM,Continuity_out,Continuity_vin,Continuity_en,Continuity_pg,Continuity_pgdl,Continuity_fb,Leakage_out_h,Leakage_out_l,Leakage_vin_h,Leakage_en_h,Leakage_en_l,Leakage_pg_h,Leakage_pg_l,Leakage_pgdl_h,Leakage_pgdl_l,Leakage_fb_h,Leakage_fb_l,POR_rising,POR_falling,POR_hys,Ignd100,Ignd_30mA,Ignd_300mA,Ishd,Vfb,Vout_5,Ifb,Ilimit,Vdropout_5_50mA,Vdropout_5_300mA,Vline_regulation_5,Vout_6V,Vout_12V,Vout_20V,Vout_30V,Vout_40V,Vload_regulation_5,Vout_5mA,Vout_300mA,Tss,Ven_low,Ven_high,Ien,PG_rising,PG_hys,PG_low,PG_leakage,PGDL_charg,PGDL_rising,PGDL_falling,PG_reaction,Post_Ishd,Post_Ignd100,Post_Ignd_30mA,Post_Ignd_300mA1,Post_Leakage_out_h,Post_Leakage_out_l,Post_Leakage_vin_h,Post_Leakage_en_h,Post_Leakage_en_l,Post_Leakage_pg_h,Post_Leakage_pg_l,Post_Leakage_pgdl_h,Post_Leakage_pgdl_l,Post_Leakage_fb_h,Post_Leakage_fb_l,Post_Continuity_out,Post_Continuity_vin,Post_Continuity_en,Post_Continuity_pg,Post_Continuity_pgdl,Post_Continuity_fb,
Unit,,,,ms,,V,V,V,V,V,V,uA,uA,uA,uA,uA,uA,uA,uA,uA,uA,uA,V,V,V,uA,uA,uA,uA,V,V,uA,A,mV,mV,mV,V,V,V,V,V,mV,V,V,mS,v,v,uA,%,%,V,uA,uA,V,V,om,uA,uA,uA,uA,uA,uA,uA,uA,uA,uA,uA,uA,uA,uA,uA,V,V,V,V,V,V,
LimitL,,,,,,0.100,-1.000,-1.000,-1.000,-1.000,-1.000,-10.000,-5.000,-10.000,-5.000,-5.000,-5.000,-5.000,-5.000,-5.000,-5.000,-5.000,2.7200,,0.2000,,,,,1.2230,3.2280,,0.360,127.000,250.000,,,,,,,,,,0.7030,0.350,0.640,,92.000,3.600,0.1210,,7.800,1.4900,0.2770,,,,,,-10.000,-5.000,-10.000,-5.000,-5.000,-5.000,-5.000,-5.000,-5.000,-5.000,-5.000,0.100,-1.000,-1.000,-1.000,-1.000,-1.000,
LimitU,,,,,,1.000,-0.100,-0.100,-0.100,-0.100,-0.100,10.000,5.000,10.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,2.9000,,0.4000,16.000,22.000,95.000,1.500,1.2730,3.3570,1.100,0.480,295.000,546.000,8.1000,,,,,,10.0000,,,1.4000,0.890,1.450,0.500,94.000,6.700,0.3480,0.0120,14.100,1.9970,0.8110,2.000,1.500,16.000,22.000,95.000,10.000,5.000,10.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,1.000,-0.100,-0.100,-0.100,-0.100,-0.100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No_01,25,True,1,1740,72,0.522,-0.500,-0.573,-0.580,-0.650,-0.438,,0.192,,,-0.011,,-0.016,,0.014,,0.261,2.8784,2.5010,0.3775,7.336,19.483,70.719,0.930,1.2568,3.3277,1.020,0.417,167.044,349.474,0.5122,3.3167,,,,3.3172,4.2627,3.3175,3.3132,1.2924,0.626,1.200,0.110,93.152,4.706,0.1747,0.0012,9.066,1.8003,0.6027,0.005,0.835,8.164,19.549,70.738,,0.194,,,-0.007,,-0.007,,0.011,,0.265,0.519,-0.493,-0.567,-0.574,-0.645,-0.435,
No_02,25,True,1,1740,72,0.522,-0.505,-0.575,-0.583,-0.652,-0.438,,0.179,,,-0.012,,0.016,,0.005,,0.310,2.7856,2.4796,0.3060,8.767,20.469,73.086,0.973,1.2509,3.3204,0.398,0.402,170.927,359.031,1.3313,3.3009,,,,3.3023,4.2198,3.3019,3.2976,1.2995,0.635,1.190,0.107,92.378,4.709,0.1744,0.0015,9.205,1.7803,0.6022,0.005,0.871,8.705,20.541,73.064,,0.125,,,-0.019,,0.014,,0.005,,0.302,0.519,-0.498,-0.570,-0.577,-0.648,-0.435,
No_01,125,True,1,1760,72,0.317,-0.273,-0.343,-0.352,-0.396,-0.331,,3.117,,,0.004,,-0.006,,0.028,,0.318,2.8777,2.4800,0.3977,9.584,20.906,71.557,1.187,1.2484,3.3034,1.019,0.401,235.673,480.481,0.9481,3.2905,,,,3.2915,7.1896,3.2920,3.2848,1.2933,0.534,1.199,0.178,93.162,6.119,0.2324,0.0062,10.009,1.6497,0.4600,0.006,1.139,9.637,20.941,71.535,,3.855,,,0.009,,0.007,,0.019,,0.332,0.313,-0.267,-0.337,-0.347,-0.390,-0.329,
No_02,125,True,1,1760,72,0.314,-0.269,-0.339,-0.348,-0.392,-0.328,,3.668,,,-0.008,,0.020,,0.013,,0.375,2.7780,2.4708,0.3071,9.965,21.804,73.316,1.159,1.2444,3.2992,0.440,0.387,242.022,491.298,0.3644,3.2879,,,,3.2883,8.0192,3.2903,3.2823,1.2988,0.525,1.200,0.180,92.605,6.199,0.2341,0.0073,10.086,1.6302,0.4607,0.006,1.105,9.498,21.782,73.394,,4.434,,,-0.008,,0.022,,0.023,,0.373,0.310,-0.263,-0.333,-0.343,-0.387,-0.326,
No_01,-40,True,1,1732,72,0.585,-0.674,-0.716,-0.722,-0.780,-0.501,,0.094,,,-0.004,,-0.005,,-0.001,,0.238,2.8777,2.5008,0.3769,7.713,18.583,70.648,0.904,1.2558,3.3293,1.019,0.439,131.002,332.455,-0.6243,3.3203,,,,3.3196,3.4749,3.3210,3.3176,1.2938,0.697,1.230,0.078,93.121,3.887,0.1477,0.0012,8.561,1.8805,0.6840,0.004,0.826,7.009,18.533,70.620,,0.038,,,-0.001,,-0.016,,0.004,,0.237,0.583,-0.667,-0.710,-0.716,-0.775,-0.499,
No_02,-40,True,1,1732,72,0.585,-0.678,-0.719,-0.725,-0.782,-0.501,,0.132,,,-0.011,,0.012,,-0.002,,0.283,2.7915,2.4808,0.3107,8.021,19.658,73.223,0.927,1.2504,3.3137,0.380,0.424,139.435,351.272,-1.6381,3.3004,,,,3.2988,3.4257,3.3000,3.2966,1.2986,0.697,1.210,0.075,92.183,3.879,0.1473,0.0016,8.763,1.8608,0.6942,0.004,0.854,8.095,19.729,73.167,,0.080,,,-0.015,,0.011,,0.000,,0.283,0.582,-0.671,-0.713,-0.719,-0.778,-0.499,
